 INFO  Accepting connections at http://localhost:8099
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/salinda-transparent.5df443a5215396daaba9eb0e25c6327f.png
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 200 in 1 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 200 in 2 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/sounds/sfx_ui_tap.a5db4cd8648710814efaec70e2731466.wav
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/sounds/sfx_ui_success.c1ad8b433b3205b4bd53b9bc67d16f99.wav
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 206 in 2 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/sounds/sfx_ui_combo.f41d0384e284c3cd0f06e1d2a12bed5d.wav
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 206 in 3 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 206 in 4 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/sounds/sfx_ui_error_soft.f65f8ee1b6640793b9580d49c8e8c835.wav
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 206 in 3 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/sounds/sfx_ui_start.0eed7d4e031a5fdee55e5acdb79793a2.wav
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/sounds/sfx_ui_complete.8f5f3fc81799683eb21c318cc1747895.wav
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 206 in 3 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/sounds/sfx_ui_transition.096e621a551cc72c151b2b8804bde7f1.wav
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/sounds/sfx_meter_celebrate.f3afec125ddc3b5ed35f96a19335079c.mp3
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 206 in 3 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 206 in 2 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/sounds/sfx_meter_intro_custom.d2cd3ae70285d29f29a617497218300f.mp3
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/sounds/sfx_meter_coins_custom.f3afec125ddc3b5ed35f96a19335079c.mp3
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 206 in 3 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 206 in 3 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 206 in 4 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/sounds/sfx_meter_bounce.d2cd3ae70285d29f29a617497218300f.mp3
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 206 in 2 ms
